INSTNM,NPT4_PUB,Year,STABBR,CITY
Memorial Hospital School of Radiation Therapy Technology,,2007,NY,New York
Merce Cunningham Studio,,2007,NY,New York
Mesivtha Tifereth Jerusalem of America,,2007,NY,New York
Mount Sinai School of Medicine,,2007,NY,New York
Neighborhood Playhouse School of the Theater,,2007,NY,New York
The New School,,2007,NY,New York
Career Academy of New York,,2007,NY,New York
New York Institute of English and Business,,2007,NY,New York
New York Law School,,2007,NY,New York
New York University,,2007,NY,New York
New York College of Podiatric Medicine,,2007,NY,New York
New York Institute of Technology-Manhattan Campus,,2007,NY,New York
New York School of Interior Design,,2007,NY,New York
Pace University-New York,,2007,NY,New York
Professional Business College,,2007,NY,New York
Empire Beauty School-Manhattan,,2007,NY,New York
New York Career Institute,,2007,NY,New York
SUNY College of Optometry,,2007,NY,New York
Swedish Institute College of Health Sciences,,2007,NY,New York
Teachers College at Columbia University,,2007,NY,New York
Technical Career Institutes,,2007,NY,New York
Touro College,,2007,NY,New York
Sanford-Brown Institute,,2007,NY,New York
Union Theological Seminary,,2007,NY,New York
School of Visual Arts,,2007,NY,New York
Wood Tobe-Coburn School,,2007,NY,New York
Yeshiva University,,2007,NY,New York
Hebrew Union College-California Branch,,2007,CA,Los Angeles
Hebrew Union College-Jewish Institute of Religion,,2007,NY,New York
The Art Institute of New York City,,2007,NY,New York
New York Academy of Art,,2007,NY,New York
Los Angeles ORT Technical Institute,,2007,CA,Los Angeles
Everest College-West Los Angeles,,2007,CA,Los Angeles
Universal College of Beauty Inc,,2007,CA,Los Angeles
Dance Theatre of Harlem Inc,,2007,NY,New York
New York International Beauty School Ltd,,2007,NY,New York
Diversified Language Institute,,2007,CA,Los Angeles
World Mission University,,2007,CA,Los Angeles
Yo San University of Traditional Chinese Medicine,,2007,CA,Los Angeles
California Design College,,2007,CA,Los Angeles
Marian Health Careers Center,,2007,CA,Los Angeles
Pacific College of Oriental Medicine-New York,,2007,NY,New York
New York Paralegal School,,2007,NY,New York
New York Conservatory for Dramatic Arts,,2007,NY,New York
Lia Schorr Institute of Cosmetic Skin Care Training,,2007,NY,New York
Studio Jewelers,,2007,NY,New York
Virginia Sewing Machines and School Center,,2007,CA,Los Angeles
American Barber Institute Inc,,2007,NY,New York
ICDC College,,2007,CA,Los Angeles
Community Based Education Development,,2007,CA,Los Angeles
Harlem School of Technology Inc,,2007,NY,New York
The Chubb Institute-Manhattan,,2007,NY,New York
California Healing Arts College,,2007,CA,Los Angeles
West Coast University,,2007,CA,Los Angeles
CES College,,2007,CA,Los Angeles
Liberty Training Institute,,2007,CA,Los Angeles
Ladera Career Paths Training Centers,,2007,CA,Los Angeles
Walter Jay MD Institute An Educational Center,,2007,CA,Los Angeles
Carsten Institute of New York,,2007,NY,New York
Palace Beauty College,,2007,CA,Los Angeles
Aveda Institute New York,,2007,NY,New York
Meridian Institute,,2007,CA,Los Angeles
New Age Training,,2007,NY,New York
USA Beauty School International,,2007,NY,New York
ABI School of Barbering & Cosmetology of Tribeca,,2007,NY,New York
Golden Gate University-Los Angeles,,2007,CA,Los Angeles
Mount Saint Marys College,,2007,CA,Los Angeles
Pratt Manhattan-A Division of Pratt Institute,,2007,NY,New York
Union Institute & University,,2007,CA,Los Angeles
Abram Friedman Occupational Center,,2008,CA,Los Angeles
American Film Institute Conservatory,,2008,CA,Los Angeles
American Intercontinental University,,2008,CA,Los Angeles
American Career College,,2008,CA,Los Angeles
Associated Technical College,,2008,CA,Los Angeles
Bryan College,,2008,CA,Los Angeles
California State University-Los Angeles,,2008,CA,Los Angeles
University of California-Los Angeles,,2008,CA,Los Angeles
Charles Drew University of Medicine and Science,,2008,CA,Los Angeles
Cleveland Chiropractic College of Los Angeles,,2008,CA,Los Angeles
The Fashion Institute of Design & Merchandising-Los Angeles,,2008,CA,Los Angeles
LA College International,,2008,CA,Los Angeles
American Jewish University,,2008,CA,Los Angeles
Los Angeles Southwest College,,2008,CA,Los Angeles
Los Angeles Trade Technical College,,2008,CA,Los Angeles
Los Angeles City College,,2008,CA,Los Angeles
Los Angeles County College of Nursing and Allied Health,,2008,CA,Los Angeles
Loyola Marymount University,,2008,CA,Los Angeles
Marinello School of Beauty,,2008,CA,Los Angeles
Mount St Mary's College,,2008,CA,Los Angeles
Everest College-LA Wilshire,,2008,CA,Los Angeles
Marinello School of Beauty,,2008,CA,Los Angeles
Occidental College,,2008,CA,Los Angeles
Otis College of Art and Design,,2008,CA,Los Angeles
Pacific States University,,2008,CA,Los Angeles
Dongguk Royal University,,2008,CA,Los Angeles
Samra University of Oriental Medicine,,2008,CA,Los Angeles
Westwood College-Los Angeles,,2008,CA,Los Angeles
Southern California Institute of Architecture,,2008,CA,Los Angeles
University of Southern California,,2008,CA,Los Angeles
Southwestern Law School,,2008,CA,Los Angeles
Universal College of Beauty Inc,,2008,CA,Los Angeles
Maxine Waters Employment Preparation Center,,2008,CA,Los Angeles
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,,2008,CA,Los Angeles
Tri-State College of Acupuncture,,2008,NY,New York
Globe Institute of Technology,,2008,NY,New York
The Ailey School,,2008,NY,New York
American Academy of Dramatic Arts,,2008,NY,New York
American Academy McAllister Institute of Funeral Service,,2008,NY,New York
Joffrey Ballet School-American Ballet Center,,2008,NY,New York
American Musical and Dramatic Academy,,2008,NY,New York
Apex Technical School,,2008,NY,New York
Bank Street College of Education,,2008,NY,New York
Barnard College,,2008,NY,New York
Berkeley College,,2008,NY,New York
Phillips Beth Israel School of Nursing,,2008,NY,New York
Boricua College,,2008,NY,New York
Circle in the Square Theater School,,2008,NY,New York
Metropolitan College of New York,,2008,NY,New York
Columbia University in the City of New York,,2008,NY,New York
Cooper Union for the Advancement of Science and Art,,2008,NY,New York
Weill Cornell Medical College,,2008,NY,New York
CUNY Bernard M Baruch College,,2008,NY,New York
CUNY Borough of Manhattan Community College,,2008,NY,New York
CUNY City College,,2008,NY,New York
CUNY Graduate School and University Center,,2008,NY,New York
CUNY Hunter College,,2008,NY,New York
CUNY John Jay College Criminal Justice,,2008,NY,New York
Fashion Institute of Technology,,2008,NY,New York
French Culinary Institute,,2008,NY,New York
Gemological Institute of America-New York,,2008,NY,New York
The General Theological Seminary,,2008,NY,New York
Global Business Institute,,2008,NY,New York
Helene Fuld College of Nursing,,2008,NY,New York
Institute of Audio Research,,2008,NY,New York
Jewish Theological Seminary of America,,2008,NY,New York
The Juilliard School,,2008,NY,New York
Katharine Gibbs School-New York City,,2008,NY,New York
Laboratory Institute of Merchandising,,2008,NY,New York
Mandl The College of Allied Health,,2008,NY,New York
Manhattan School of Music,,2008,NY,New York
Marymount Manhattan College,,2008,NY,New York
Memorial Hospital School of Radiation Therapy Technology,,2008,NY,New York
Merce Cunningham Studio,,2008,NY,New York
Mesivtha Tifereth Jerusalem of America,,2008,NY,New York
Mount Sinai School of Medicine,,2008,NY,New York
Neighborhood Playhouse School of the Theater,,2008,NY,New York
The New School,,2008,NY,New York
Career Academy of New York,,2008,NY,New York
New York Institute of English and Business,,2008,NY,New York
New York Law School,,2008,NY,New York
New York University,,2008,NY,New York
New York College of Podiatric Medicine,,2008,NY,New York
New York Institute of Technology-Manhattan Campus,,2008,NY,New York
New York School of Interior Design,,2008,NY,New York
Pace University-New York,,2008,NY,New York
Professional Business College,,2008,NY,New York
Empire Beauty School-Manhattan,,2008,NY,New York
New York Career Institute,,2008,NY,New York
SUNY College of Optometry,,2008,NY,New York
Swedish Institute College of Health Sciences,,2008,NY,New York
Teachers College at Columbia University,,2008,NY,New York
Technical Career Institutes,,2008,NY,New York
Touro College,,2008,NY,New York
Sanford-Brown Institute,,2008,NY,New York
Union Theological Seminary,,2008,NY,New York
School of Visual Arts,,2008,NY,New York
Wood Tobe-Coburn School,,2008,NY,New York
Yeshiva University,,2008,NY,New York
Hebrew Union College-Jewish Institute of Religion,,2008,CA,Los Angeles
Hebrew Union College-Jewish Institute of Religion,,2008,NY,New York
The Art Institute of New York City,,2008,NY,New York
Los Angeles ORT Technical Institute,,2008,CA,Los Angeles
New York Academy of Art,,2008,NY,New York
Everest College-West Los Angeles,,2008,CA,Los Angeles
Universal College of Beauty Inc,,2008,CA,Los Angeles
New York International Beauty School Ltd,,2008,NY,New York
World Mission University,,2008,CA,Los Angeles
Coast Career Institute,,2008,CA,Los Angeles
Marian Health Careers Center,,2008,CA,Los Angeles
New York Conservatory for Dramatic Arts,,2008,NY,New York
Dance Theatre of Harlem Inc,,2008,NY,New York
A.B.I. School of Barbering & Cosmetology of Chelsea Inc.,,2008,NY,New York
Diversified Language Institute,,2008,CA,Los Angeles
Anthem Institute - Manhattan,,2008,NY,New York
Yo San University of Traditional Chinese Medicine,,2008,CA,Los Angeles
Liberty Training Institute,,2008,CA,Los Angeles
The Art Institute of California-Hollywood,,2008,CA,Los Angeles
Palace Beauty College,,2008,CA,Los Angeles
Pacific College of Oriental Medicine-New York,,2008,NY,New York
A.B.I. School of Barbering & Cosmetology of Tribeca Inc.,,2008,NY,New York
Lia Schorr Institute of Cosmetic Skin Care Training,,2008,NY,New York
Studio Jewelers,,2008,NY,New York
Virginia Sewing Machines and School Center,,2008,CA,Los Angeles
Abram Friedman Occupational Center,,2009,CA,Los Angeles
ICDC College,,2008,CA,Los Angeles
Community Based Education and Development DBA CBD College,,2008,CA,Los Angeles
Harlem School of Technology Inc,,2008,NY,New York
The Fashion Institute of Design & Merchandising-Los Angeles,,2009,CA,Los Angeles
California Healing Arts College,,2008,CA,Los Angeles
West Coast University,,2008,CA,Los Angeles
CES College,,2008,CA,Los Angeles
Occidental College,,2009,CA,Los Angeles
Ladera Career Paths Training Centers,,2008,CA,Los Angeles
Walter Jay MD Institute An Educational Center,,2008,CA,Los Angeles
Carsten Institute of New York,,2008,NY,New York
Southwestern Law School,,2009,CA,Los Angeles
Aveda Institute New York,,2008,NY,New York
New Age Training,,2008,NY,New York
USA Beauty School International,,2008,NY,New York
The Ailey School,,2013,NY,New York
Career College Consultants,,2008,CA,Los Angeles
Micropower Career Institute,,2008,NY,New York
The King’s College,,2008,NY,New York
Golden Gate University-Los Angeles,,2008,CA,Los Angeles
Mount St. Mary's College - Doheny Campus,,2008,CA,Los Angeles
Pratt Manhattan-A Division of Pratt Institute,,2008,NY,New York
Union Institute & University,,2008,CA,Los Angeles
Star Career Academy-New York,,2013,NY,New York
American Film Institute Conservatory,,2009,CA,Los Angeles
American InterContinental University,,2009,CA,Los Angeles
American Career College,,2009,CA,Los Angeles
Associated Technical College,,2009,CA,Los Angeles
Bryan College,,2009,CA,Los Angeles
Charles Drew University of Medicine and Science,,2009,CA,Los Angeles
Cleveland Chiropractic College of Los Angeles,,2009,CA,Los Angeles
Marian Health Careers Center-Los Angeles Campus,,2013,CA,Los Angeles
LA College International,,2009,CA,Los Angeles
American Jewish University,,2009,CA,Los Angeles
Los Angeles County College of Nursing and Allied Health,,2009,CA,Los Angeles
Loyola Marymount University,,2009,CA,Los Angeles
Marinello School of Beauty,,2009,CA,Los Angeles
Mount St Mary's College,,2009,CA,Los Angeles
Everest College-LA Wilshire,,2009,CA,Los Angeles
International College of Beauty Arts & Sciences,,2013,CA,Los Angeles
Otis College of Art and Design,,2009,CA,Los Angeles
Pacific States University,,2009,CA,Los Angeles
Dongguk University Los Angeles,,2009,CA,Los Angeles
Samra University of Oriental Medicine,,2009,CA,Los Angeles
Westwood College-Los Angeles,,2009,CA,Los Angeles
Southern California Institute of Architecture,,2009,CA,Los Angeles
University of Southern California,,2009,CA,Los Angeles
Icahn School of Medicine at Mount Sinai,,2013,NY,New York
Universal College of Beauty Inc,,2009,CA,Los Angeles
Maxine Waters Employment Preparation Center,,2009,CA,Los Angeles
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,,2009,CA,Los Angeles
Tri-State College of Acupuncture,,2009,NY,New York
Globe Institute of Technology,,2009,NY,New York
The Ailey School,,2009,NY,New York
American Musical and Dramatic Academy,,2009,NY,New York
American Academy of Dramatic Arts,,2009,NY,New York
American Academy McAllister Institute of Funeral Service,,2009,NY,New York
Apex Technical School,,2009,NY,New York
Bank Street College of Education,,2009,NY,New York
Berkeley College,,2009,NY,New York
Boricua College,,2009,NY,New York
Metropolitan College of New York,,2009,NY,New York
Joffrey Ballet School-American Ballet Center,,2009,NY,New York
CUNY Graduate School and University Center,,2009,NY,New York
Gemological Institute of America-New York,,2009,NY,New York
Global Business Institute,,2009,NY,New York
Barnard College,,2009,NY,New York
The Juilliard School,,2009,NY,New York
Phillips Beth Israel School of Nursing,,2009,NY,New York
Marymount Manhattan College,,2009,NY,New York
Circle in the Square Theater School,,2009,NY,New York
Mount Sinai School of Medicine,,2009,NY,New York
Columbia University in the City of New York,,2009,NY,New York
Cooper Union for the Advancement of Science and Art,,2009,NY,New York
Weill Cornell Medical College,,2009,NY,New York
New York Institute of Technology-Manhattan Campus,,2009,NY,New York
French Culinary Institute,,2009,NY,New York
Empire Beauty School-Manhattan,,2009,NY,New York
The General Theological Seminary,,2009,NY,New York
Teachers College at Columbia University,,2009,NY,New York
Helene Fuld College of Nursing,,2009,NY,New York
Institute of Audio Research,,2009,NY,New York
Jewish Theological Seminary of America,,2009,NY,New York
Hebrew Union College-Jewish Institute of Religion,,2009,CA,Los Angeles
LIM College,,2009,NY,New York
Mandl The College of Allied Health,,2009,NY,New York
Manhattan School of Music,,2009,NY,New York
Diversified Language Institute,,2009,CA,Los Angeles
Memorial Hospital School of Radiation Therapy Technology,,2009,NY,New York
Merce Cunningham Studio,,2009,NY,New York
Mesivtha Tifereth Jerusalem of America,,2009,NY,New York
Studio Jewelers,,2009,NY,New York
Neighborhood Playhouse School of the Theater,,2009,NY,New York
The New School,,2009,NY,New York
Career Academy of New York,,2009,NY,New York
New York Institute of English and Business,,2009,NY,New York
New York Law School,,2009,NY,New York
New York University,,2009,NY,New York
New York College of Podiatric Medicine,,2009,NY,New York
New York School of Interior Design,,2009,NY,New York
Pace University-New York,,2009,NY,New York
Professional Business College,,2009,NY,New York
New York Career Institute,,2009,NY,New York
SUNY College of Optometry,,2009,NY,New York
Swedish Institute a College of Health Sciences,,2009,NY,New York
Technical Career Institutes,,2009,NY,New York
Touro College,,2009,NY,New York
Sanford-Brown Institute,,2009,NY,New York
Union Theological Seminary,,2009,NY,New York
School of Visual Arts,,2009,NY,New York
Wood Tobe-Coburn School,,2009,NY,New York
Yeshiva University,,2009,NY,New York
Hebrew Union College-Jewish Institute of Religion,,2009,NY,New York
The Art Institute of New York City,,2009,NY,New York
New York Academy of Art,,2009,NY,New York
Los Angeles ORT College,,2009,CA,Los Angeles
Everest College-West Los Angeles,,2009,CA,Los Angeles
Universal College of Beauty Inc,,2009,CA,Los Angeles
Dance Theatre of Harlem Inc,,2009,NY,New York
World Mission University,,2009,CA,Los Angeles
Yo San University of Traditional Chinese Medicine,,2009,CA,Los Angeles
Coast Career Institute,,2009,CA,Los Angeles
Marian Health Careers Center,,2009,CA,Los Angeles
Pacific College of Oriental Medicine-New York,,2009,NY,New York
New York Conservatory for Dramatic Arts,,2009,NY,New York
Lia Schorr Institute of Cosmetic Skin Care Training,,2009,NY,New York
Virginia Sewing Machines and School Center,,2009,CA,Los Angeles
A.B.I. School of Barbering & Cosmetology of Chelsea Inc.,,2009,NY,New York
ICDC College,,2009,CA,Los Angeles
Community Based Education and Development DBA CBD College,,2009,CA,Los Angeles
West Coast University,,2009,CA,Los Angeles
Harlem School of Technology Inc,,2009,NY,New York
CES College,,2009,CA,Los Angeles
Argosy University-Los Angeles,,2009,CA,Los Angeles
New Age Training,,2009,NY,New York
Anthem Institute - Manhattan,,2009,NY,New York
Career Development Institute,,2009,CA,Los Angeles
Ladera Career Paths Training Centers,,2009,CA,Los Angeles
Carsten Institute of New York,,2009,NY,New York
Palace Beauty College,,2009,CA,Los Angeles
USA Beauty School International,,2009,NY,New York
A.B.I. School of Barbering & Cosmetology of Tribeca Inc.,,2009,NY,New York
Institute of Allied Medical Professions,,2009,NY,New York
California Healing Arts College,,2009,CA,Los Angeles
The Chicago School of Professional Psychology at Los Angeles,,2009,CA,Los Angeles
The Chicago School of Professional Psychology at Westwood,,2009,CA,Los Angeles
Golden Gate University-Los Angeles,,2009,CA,Los Angeles
Walter Jay MD Institute An Educational Center,,2009,CA,Los Angeles
Los Angeles Center,,2009,CA,Los Angeles
Abram Friedman Occupational Center,,2010,CA,Los Angeles
American Career College-Los Angeles,,2010,CA,Los Angeles
Aveda Institute New York,,2009,NY,New York
Cleveland Chiropractic College of Los Angeles,,2010,CA,Los Angeles
LA College International,,2010,CA,Los Angeles
Los Angeles County College of Nursing and Allied Health,,2010,CA,Los Angeles
Career College Consultants,,2009,CA,Los Angeles
Everest College-LA Wilshire,,2010,CA,Los Angeles
Micropower Career Institute,,2009,NY,New York
The King’s College,,2009,NY,New York
Borner's Barber College,,2009,CA,Los Angeles
Southwestern Law School,,2010,CA,Los Angeles
Maxine Waters Employment Preparation Center,,2010,CA,Los Angeles
Tri-State College of Acupuncture,,2010,NY,New York
Central Nursing College,,2009,CA,Los Angeles
American Academy McAllister Institute of Funeral Service,,2010,NY,New York
Marinello School of Beauty,,2009,CA,Los Angeles
Mount St. Mary's College - Doheny Campus,,2009,CA,Los Angeles
Pratt Manhattan-A Division of Pratt Institute,,2009,NY,New York
Boricua College,,2010,NY,New York
Make-up Designory,,2009,NY,New York
Cooper Union for the Advancement of Science and Art,,2010,NY,New York
American Film Institute Conservatory,,2010,CA,Los Angeles
Gemological Institute of America-New York,,2010,NY,New York
Associated Technical College-Los Angeles,,2010,CA,Los Angeles
Bryan College-Los Angeles,,2010,CA,Los Angeles
Charles R Drew University of Medicine and Science,,2010,CA,Los Angeles
Mandl The College of Allied Health,,2010,NY,New York
FIDM/Fashion Institute of Design & Merchandising-Los Angeles,,2010,CA,Los Angeles
Merce Cunningham Studio,,2010,NY,New York
American Jewish University,,2010,CA,Los Angeles
The New School,,2010,NY,New York
Loyola Marymount University,,2010,CA,Los Angeles
Marinello Schools of Beauty-Los Angeles,,2010,CA,Los Angeles
Mount St Mary's College,,2010,CA,Los Angeles
Pace University-New York,,2010,NY,New York
Occidental College,,2010,CA,Los Angeles
Otis College of Art and Design,,2010,CA,Los Angeles
Pacific States University,,2010,CA,Los Angeles
Dongguk University Los Angeles,,2010,CA,Los Angeles
Westwood College-Los Angeles,,2010,CA,Los Angeles
Southern California Institute of Architecture,,2010,CA,Los Angeles
University of Southern California,,2010,CA,Los Angeles
Hebrew Union College-Jewish Institute of Religion-New York,,2010,NY,New York
Universal College of Beauty Inc-Los Angeles 1,,2010,CA,Los Angeles
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,,2010,CA,Los Angeles
Globe Institute of Technology,,2010,NY,New York
The Ailey School,,2010,NY,New York
American Academy of Dramatic Arts-New York,,2010,NY,New York
Joffrey Ballet School-American Ballet Center,,2010,NY,New York
American Musical and Dramatic Academy,,2010,NY,New York
Apex Technical School,,2010,NY,New York
Bank Street College of Education,,2010,NY,New York
Barnard College,,2010,NY,New York
Berkeley College-New York,,2010,NY,New York
Phillips Beth Israel School of Nursing,,2010,NY,New York
Circle in the Square Theater School,,2010,NY,New York
Metropolitan College of New York,,2010,NY,New York
Columbia University in the City of New York,,2010,NY,New York
Weill Cornell Medical College,,2010,NY,New York
CUNY Graduate School and University Center,,2010,NY,New York
French Culinary Institute,,2010,NY,New York
The General Theological Seminary,,2010,NY,New York
Global Business Institute,,2010,NY,New York
Helene Fuld College of Nursing,,2010,NY,New York
Institute of Audio Research,,2010,NY,New York
Jewish Theological Seminary of America,,2010,NY,New York
The Juilliard School,,2010,NY,New York
LIM College,,2010,NY,New York
Manhattan School of Music,,2010,NY,New York
Marymount Manhattan College,,2010,NY,New York
Memorial Hospital School of Radiation Therapy Technology,,2010,NY,New York
Mesivtha Tifereth Jerusalem of America,,2010,NY,New York
Mount Sinai School of Medicine,,2010,NY,New York
Neighborhood Playhouse School of the Theater,,2010,NY,New York
Star Career Academy-New York,,2010,NY,New York
New York Institute of English and Business,,2010,NY,New York
New York Law School,,2010,NY,New York
New York Theological Seminary,,2010,NY,New York
New York University,,2010,NY,New York
New York College of Podiatric Medicine,,2010,NY,New York
New York School of Interior Design,,2010,NY,New York
Professional Business College,,2010,NY,New York
Empire Beauty School-Manhattan,,2010,NY,New York
Spanish-American Institute,,2010,NY,New York
New York Career Institute,,2010,NY,New York
SUNY College of Optometry,,2010,NY,New York
Swedish Institute a College of Health Sciences,,2010,NY,New York
Teachers College at Columbia University,,2010,NY,New York
Technical Career Institutes,,2010,NY,New York
Touro College,,2010,NY,New York
Sanford-Brown Institute-New York,,2010,NY,New York
Union Theological Seminary,,2010,NY,New York
School of Visual Arts,,2010,NY,New York
Wood Tobe-Coburn School,,2010,NY,New York
Yeshiva University,,2010,NY,New York
Hebrew Union College-Jewish Institute of Religion-Los Angeles,,2010,CA,Los Angeles
The Art Institute of New York City,,2010,NY,New York
Los Angeles ORT College-Los Angeles Campus,,2010,CA,Los Angeles
New York Academy of Art,,2010,NY,New York
Everest College-West Los Angeles,,2010,CA,Los Angeles
Universal College of Beauty Inc-Los Angeles 2,,2010,CA,Los Angeles
Diversified Language Institute,,2010,CA,Los Angeles
Yo San University of Traditional Chinese Medicine,,2010,CA,Los Angeles
Marian Health Careers Center,,2010,CA,Los Angeles
New York Conservatory for Dramatic Arts,,2010,NY,New York
Studio Jewelers,,2010,NY,New York
Dance Theatre of Harlem Inc,,2010,NY,New York
ICDC College,,2010,CA,Los Angeles
World Mission University,,2010,CA,Los Angeles
West Coast University-Los Angeles,,2010,CA,Los Angeles
Coast Career Institute,,2010,CA,Los Angeles
Palace Beauty College,,2010,CA,Los Angeles
Pacific College of Oriental Medicine-New York,,2010,NY,New York
A.B.I. School of Barbering & Cosmetology of Tribeca Inc.,,2010,NY,New York
